time(sec),ch1,ch2,ch3
7.242,-0.137,-0.137,-0.137
7.25,-0.137,-0.137,-0.137
7.258,-0.137,-0.137,-0.137
7.266,-0.137,-0.137,-0.137
7.273,-0.137,-0.137,-0.137
7.281,-0.137,-0.137,-0.137
7.289,-0.137,-0.137,-0.137
7.297,-0.137,-0.137,-0.137
7.305,-0.137,-0.137,-0.137
7.313,-0.137,-0.137,-0.137
7.32,-0.137,-0.137,-0.137
7.328,-0.137,-0.137,-0.137
7.336,-0.137,-0.137,-0.137
7.344,-0.137,-0.137,-0.137
7.352,-0.137,-0.137,-0.137
7.359,-0.137,-0.137,-0.137
7.367,-0.137,-0.137,-0.137
7.375,-0.137,-0.137,-0.137
7.383,-0.137,-0.137,-0.137
7.391,-0.137,-0.137,-0.137
7.398,-0.137,-0.137,-0.137
7.406,-0.137,-0.137,-0.137
7.414,-0.137,-0.137,-0.137
7.422,-0.137,-0.137,-0.137
7.43,0.078,0.078,0.078
7.438,0.627,0.627,0.627
7.445,0.765,0.765,0.765
7.453,0.804,0.804,0.804
7.461,0.804,0.804,0.804
7.469,0.804,0.804,0.804
7.477,0.804,0.804,0.804
7.484,0.804,0.804,0.804
7.492,0.804,0.804,0.804
7.5,0.804,0.804,0.804
7.508,0.804,0.804,0.804
7.516,0.804,0.804,0.804
7.523,0.804,0.804,0.804
7.531,0.804,0.804,0.804
7.539,0.804,0.804,0.804
7.547,0.804,0.804,0.804
7.555,0.804,0.804,0.804
7.563,0.804,0.804,0.804
7.57,0.569,0.569,0.569
7.578,0.02,0.02,0.02
7.586,-0.098,-0.098,-0.098
7.594,-0.137,-0.137,-0.137
7.602,-0.137,-0.137,-0.137
7.609,-0.137,-0.137,-0.137
7.617,-0.137,-0.137,-0.137
7.625,-0.137,-0.137,-0.137
7.633,-0.137,-0.137,-0.137
7.641,-0.137,-0.137,-0.137
7.648,-0.137,-0.137,-0.137
7.656,-0.137,-0.137,-0.137
7.664,-0.137,-0.137,-0.137
7.672,-0.137,-0.137,-0.137
7.68,-0.137,-0.137,-0.137
7.688,-0.137,-0.137,-0.137
7.695,-0.137,-0.137,-0.137
7.703,-0.137,-0.137,-0.137
7.711,-0.137,-0.137,-0.137
7.719,-0.137,-0.137,-0.137
7.727,-0.137,-0.137,-0.137
7.734,-0.137,-0.137,-0.137
7.742,-0.137,-0.137,-0.137
7.75,-0.137,-0.137,-0.137
7.758,-0.137,-0.137,-0.137
7.766,-0.137,-0.137,-0.137
7.773,-0.137,-0.137,-0.137
7.781,-0.137,-0.137,-0.137
7.789,-0.137,-0.137,-0.137
7.797,-0.137,-0.137,-0.137
7.805,-0.137,-0.137,-0.137
7.813,-0.137,-0.137,-0.137
7.82,-0.137,-0.137,-0.137
7.828,-0.137,-0.137,-0.137
7.836,-0.137,-0.137,-0.137
7.844,-0.137,-0.137,-0.137
7.852,-0.137,-0.137,-0.137
7.859,-0.137,-0.137,-0.137
7.867,-0.137,-0.137,-0.137
7.875,-0.137,-0.137,-0.137
7.883,-0.137,-0.137,-0.137
7.891,-0.137,-0.137,-0.137
7.898,-0.137,-0.137,-0.137
7.906,-0.137,-0.137,-0.137
7.914,-0.137,-0.137,-0.137
7.922,-0.137,-0.137,-0.137
7.93,-0.137,-0.137,-0.137
7.938,-0.137,-0.137,-0.137
7.945,-0.137,-0.137,-0.137
7.953,-0.137,-0.137,-0.137
7.961,-0.137,-0.137,-0.137
7.969,-0.137,-0.137,-0.137
