time,CH1
2.1,0.0119019
2.104,0.0106812
2.108,0.0101929
2.112,0.0106812
2.116,0.0115967
2.12,0.0120239
2.124,0.0118408
2.128,0.0112305
2.132,0.0100708
2.136,0.00958252
2.14,0.00958252
2.144,0.0101318
2.148,0.0103149
2.152,0.00976562
2.156,0.00860596
2.16,0.00872803
2.164,0.00872803
2.168,0.00958252
2.172,0.010498
2.176,0.0109863
2.18,0.0101318
2.184,0.00952148
2.188,0.0088501
2.192,0.00994873
2.196,0.0126953
2.2,0.0158081
2.204,0.0167847
2.208,0.0158081
2.212,0.0137939
2.216,0.0115967
2.22,0.012207
2.224,0.013916
2.228,0.0148315
2.232,0.0144043
2.236,0.0128174
2.24,0.0113525
2.244,0.00994873
2.248,0.00970459
2.252,0.010437
2.256,0.012085
2.26,0.0147095
2.264,0.0159302
2.268,0.015686
2.272,0.0149536
2.276,0.0147705
2.28,0.0148926
2.284,0.0160522
2.288,0.0174561
2.292,0.0180664
2.296,0.0179443
2.3,0.0166626
2.304,0.0158081
2.308,0.0151367
2.312,0.0158081
2.316,0.0161743
2.32,0.0162354
2.324,0.0158081
2.328,0.0148926
2.332,0.0137329
2.336,0.0128174
2.34,0.0133667
2.344,0.0148926
2.348,0.0153809
2.352,0.0150757
2.356,0.0140991
2.36,0.0130005
2.364,0.0131226
2.368,0.0140991
2.372,0.0151978
2.376,0.0164185
2.38,0.0170288
2.384,0.0164795
2.388,0.0162354
2.392,0.0159302
2.396,0.0164185
2.4,0.0178833
2.404,0.0187378
2.408,0.0184937
2.412,0.0175781
2.416,0.0158081
2.42,0.0139771
2.424,0.0130615
2.428,0.0126343
2.432,0.012085
2.436,0.0114136
2.44,0.0109253
2.444,0.0113525
2.448,0.0119019
2.452,0.0128784
2.456,0.0144653
2.46,0.0151367
2.464,0.0144653
2.468,0.0131226
2.472,0.0119019
2.476,0.0117798
2.48,0.0128174
2.484,0.0134277
2.488,0.0153809
2.492,0.0159912
2.496,0.0166626
2.5,0.0184937
2.504,0.0213013
2.508,0.0257568
2.512,0.0315552
2.516,0.0367432
2.52,0.0413818
2.524,0.0471191
2.528,0.0532227
2.532,0.0593262
2.536,0.0649414
2.54,0.0689697
2.544,0.0698242
2.548,0.0687866
2.552,0.0668335
2.556,0.0635376
2.56,0.0601196
2.564,0.0554199
2.568,0.0479736
2.572,0.0378418
2.576,0.0250854
2.58,0.012085
2.584,0.000671387
2.588,-0.00775146
2.592,-0.00994873
2.596,-0.00817871
2.6,-0.00445557
2.604,-0.000732422
2.608,0.00158691
2.612,0.00115967
2.616,-0.000671387
2.62,-0.00286865
2.624,-0.00445557
2.628,-0.00628662
2.632,-0.0067749
2.636,-0.00701904
2.64,-0.00653076
2.644,-0.00561523
2.648,-0.00488281
2.652,-0.00592041
2.656,-0.00823975
2.66,-0.00854492
2.664,-0.00213623
2.668,0.0200806
2.672,0.0657349
2.676,0.136841
2.68,0.230042
2.684,0.338318
2.688,0.445312
2.692,0.520752
2.696,0.533264
2.7,0.464417
2.704,0.320068
2.708,0.147827
2.712,-0.00134277
2.716,-0.0933228
2.72,-0.119873
2.724,-0.098999
2.728,-0.0564575
2.732,-0.0142212
2.736,0.0162354
2.74,0.0308228
2.744,0.0310669
2.748,0.024353
2.752,0.0172119
2.756,0.0135498
2.76,0.0131836
2.764,0.0143433
2.768,0.015625
2.772,0.0159912
2.776,0.0169678
2.78,0.0169678
2.784,0.0183105
2.788,0.0196533
2.792,0.0205688
2.796,0.0215454
2.8,0.0228882
2.804,0.0240479
2.808,0.0262451
2.812,0.0286255
2.816,0.0304565
2.82,0.0327148
2.824,0.034729
2.828,0.0368042
2.832,0.038147
2.836,0.0384521
2.84,0.0394897
2.844,0.0405884
2.848,0.0432129
2.852,0.0470581
2.856,0.0507812
2.86,0.0544434
